0	0.12452211	ProControl.exe	IRP_MJ_CREATE	Serial0	SUCCESS	Options: Open Sequential 	
1	0.00001481	ProControl.exe	IOCTL_SERIAL_GET_BAUD_RATE	Serial0	SUCCESS		
2	0.00000831	ProControl.exe	IOCTL_SERIAL_GET_LINE_CONTROL	Serial0	SUCCESS		
3	0.00000929	ProControl.exe	IOCTL_SERIAL_GET_CHARS	Serial0	SUCCESS		
4	0.00000754	ProControl.exe	IOCTL_SERIAL_GET_HANDFLOW	Serial0	SUCCESS		
5	0.00000789	ProControl.exe	IOCTL_SERIAL_GET_BAUD_RATE	Serial0	SUCCESS		
6	0.00000859	ProControl.exe	IOCTL_SERIAL_GET_LINE_CONTROL	Serial0	SUCCESS		
7	0.00000740	ProControl.exe	IOCTL_SERIAL_GET_CHARS	Serial0	SUCCESS		
8	0.00000768	ProControl.exe	IOCTL_SERIAL_GET_HANDFLOW	Serial0	SUCCESS		
9	0.00004149	ProControl.exe	IOCTL_SERIAL_SET_BAUD_RATE	Serial0	SUCCESS	Rate: 9600	
10	0.00003688	ProControl.exe	IOCTL_SERIAL_SET_RTS	Serial0	SUCCESS		
11	0.00003618	ProControl.exe	IOCTL_SERIAL_SET_DTR	Serial0	SUCCESS		
12	0.00003967	ProControl.exe	IOCTL_SERIAL_SET_LINE_CONTROL	Serial0	SUCCESS	StopBits: 1 Parity: NONE WordLength: 8	
13	0.00003723	ProControl.exe	IOCTL_SERIAL_SET_CHAR	Serial0	SUCCESS	EOF:0 ERR:0 BRK:0 EVT:0 XON:11 XOFF:13	
14	0.00005008	ProControl.exe	IOCTL_SERIAL_SET_HANDFLOW	Serial0	SUCCESS	Shake:1 Replace:40 XonLimit:2048 XoffLimit:512	
15	0.00000775	ProControl.exe	IOCTL_SERIAL_SET_TIMEOUTS	Serial0	SUCCESS	RI:1200 RM:1 RC:1200 WM:1 WC:1200	
16	0.00005748	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
17	0.00001439	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
18	0.00007592	ProControl.exe	IOCTL_SERIAL_SET_DTR	Serial0	SUCCESS		
19	0.00001543	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
20	0.00001418	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
21	0.00047401	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 11: AA AA 01 00 00 00 00 04 00 01 59 	
22	0.00003820	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
23	0.00001453	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
24	0.00131197	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 11: AA AA 01 00 00 00 00 04 00 01 59 	
25	0.00004149	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
26	0.00001641	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
27	0.00096674	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 11: AA AA 01 00 00 00 00 04 00 01 59 	
28	0.00003115	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
29	0.00001439	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
30	0.00132454	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 11: AA AA 01 00 00 00 00 00 00 01 55 	
31	0.00002549	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
32	0.00001774	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
33	0.00002870	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
34	0.00001830	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
35	0.00002947	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
36	0.00001711	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
37	0.00002919	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
38	0.00001781	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
39	0.00002954	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
40	0.00001872	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
41	0.00002905	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
42	0.00001739	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
43	0.00002926	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
44	0.00001809	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
45	0.00002933	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
46	0.00001816	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 80 	
47	0.00002933	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
48	0.00001816	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 0A 	
49	0.00003129	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
50	0.00002053	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
51	0.00002884	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
52	0.00001795	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 39 	
53	0.00002996	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
54	0.00001802	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
55	0.00001935	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
56	0.00002165	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 35 	
57	0.00002996	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
58	0.00001851	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 42 	
59	0.00002877	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
60	0.00001872	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 4F 	
61	0.00002256	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
62	0.00001753	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
63	0.00003527	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
64	0.00002130	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 31 	
65	0.00003506	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
66	0.00002228	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 33 	
67	0.00003052	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
68	0.00001774	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 39 	
69	0.00003324	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
70	0.00002186	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 04 	
71	0.00002975	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
72	0.00001739	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 0B 	
73	0.00004225	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
74	0.00001523	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
75	0.00099454	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 22: AA AA 01 00 00 00 00 01 0B 30 39 30 35 42 4F 30 31 33 39 01 03 	
76	0.00001977	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
77	0.00001767	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
78	0.00002975	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
79	0.00001865	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
80	0.00002004	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
81	0.00001704	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
82	0.00002780	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
83	0.00001823	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
84	0.00003017	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
85	0.00001900	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
86	0.00002717	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
87	0.00001697	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
88	0.00002940	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
89	0.00001865	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
90	0.00002326	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
91	0.00001746	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 81 	
92	0.00003178	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
93	0.00002004	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
94	0.00002926	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
95	0.00001739	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 06 	
96	0.00001655	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
97	0.00001516	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
98	0.00002025	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
99	0.00001613	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: DE 	
100	0.00001746	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: RXABORT RXCLEAR	
101	0.00000747	ProControl.exe	IOCTL_SERIAL_PURGE	Serial0	SUCCESS	Purge: TXABORT TXCLEAR 	
102	0.00109546	ProControl.exe	IRP_MJ_WRITE	Serial0	SUCCESS	Length 11: AA AA 01 00 00 01 01 03 00 01 5A 	
103	0.00002584	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
104	0.00002249	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
105	0.00002996	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
106	0.00001809	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: AA 	
107	0.00001990	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
108	0.00001781	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
109	0.00003834	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
110	0.00002095	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
111	0.00003010	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
112	0.00001872	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
113	0.00002982	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
114	0.00001921	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 00 	
115	0.00003101	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
116	0.00002067	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 01 	
117	0.00002102	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
118	0.00002319	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 83 	
119	0.00003031	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
120	0.00001739	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 40 	
121	0.00002905	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
122	0.00002053	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 31 	
123	0.00002912	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
124	0.00001977	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
125	0.00002947	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
126	0.00001774	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
127	0.00002857	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
128	0.00001732	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 32 	
129	0.00002933	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
130	0.00001795	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
131	0.00002905	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
132	0.00001921	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
133	0.00002961	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
134	0.00001795	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
135	0.00002891	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
136	0.00001809	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 41 	
137	0.00003199	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
138	0.00001990	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 31 	
139	0.00002919	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
140	0.00001718	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 2E 	
141	0.00001921	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
142	0.00001788	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
143	0.00003702	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
144	0.00002940	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 30 	
145	0.00002989	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
146	0.00001914	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
147	0.00002898	ProControl.exe	IOCTL_SERIAL_GET_COMMSTATUS	Serial0	SUCCESS		
148	0.00001760	ProControl.exe	IRP_MJ_READ	Serial0	SUCCESS	Length 1: 20 	
